Loja,Estado,Região,Meta de Vendas 
Loja 184,Amapá,Norte,7800
Loja 185,Piauí,Nordeste,8500
Loja 186,Rio de Janeiro,Sudeste,8500
Loja 187,Tocantins,Norte,8200
Loja 188,São Paulo,Sudeste,7800
Loja 189,Mato Grosso do Sul,Centro-Oeste,7200
Loja 190,Rio de Janeiro,Sudeste,7800
Loja 191,Maranhão,Nordeste,8500
Loja 192,Pernambuco,Nordeste,8000
Loja 193,Santa Catarina,Sul,7500
Loja 194,Rio Grande do Norte,Nordeste,7000
Loja 195,Rio Grande do Norte,Nordeste,8000
Loja 196,Maranhão,Nordeste,7000
Loja 197,Rio Grande do Sul,Sul,8200
Loja 198,Pernambuco,Nordeste,8200
Loja 199,Tocantins,Norte,8500
Loja 200,Pernambuco,Nordeste,8200
Loja 201,Santa Catarina,Sul,8000
Loja 202,Maranhão,Nordeste,7200
Loja 203,Alagoas,Nordeste,7200
Loja 204,Amapá,Norte,7500
Loja 205,Bahia,Nordeste,7800
Loja 206,Roraima,Norte,8200
Loja 207,Piauí,Nordeste,8000
Loja 208,Ceará,Nordeste,8200
Loja 209,Santa Catarina,Sul,7000
Loja 210,Rondônia,Norte,7500
Loja 211,Pará,Norte,7000
Loja 212,Tocantins,Norte,7800
Loja 213,Rio Grande do Norte,Nordeste,7500
Loja 214,Bahia,Nordeste,8000
Loja 215,Minas Gerais,Sudeste,8500
Loja 216,Maranhão,Nordeste,7200
Loja 217,Sergipe,Nordeste,8200
Loja 218,Santa Catarina,Sul,7800
Loja 219,Ceará,Nordeste,7200
Loja 220,Amapá,Norte,8000
Loja 221,Bahia,Nordeste,8500
Loja 222,Espírito Santo,Sudeste,7800
Loja 223,Goiás,Centro-Oeste,7000
Loja 224,Paraíba,Nordeste,7200
Loja 225,Rondônia,Norte,8500
Loja 226,Rio Grande do Norte,Nordeste,8200
Loja 227,Bahia,Nordeste,8200
Loja 228,Mato Grosso,Centro-Oeste,7500
Loja 229,Bahia,Nordeste,8000
Loja 230,Pará,Norte,7200
Loja 231,São Paulo,Sudeste,7500
Loja 232,Piauí,Nordeste,7500
Loja 233,Amapá,Norte,7000
Loja 234,Amazonas,Norte,7200
Loja 235,Paraíba,Nordeste,7800
Loja 236,Maranhão,Nordeste,8500
Loja 237,Rondônia,Norte,8200
Loja 238,Alagoas,Nordeste,8500
Loja 239,Paraná,Sul,7000
Loja 240,Espírito Santo,Sudeste,8200
Loja 241,Goiás,Centro-Oeste,7000
Loja 242,São Paulo,Sudeste,8000
Loja 243,Acre,Norte,8500
Loja 244,Ceará,Nordeste,7800
Loja 245,Goiás,Centro-Oeste,8500
Loja 246,Amapá,Norte,8500
Loja 247,Rio Grande do Norte,Nordeste,8200
Loja 248,Rondônia,Norte,8500
Loja 249,Mato Grosso,Centro-Oeste,7800
Loja 250,Alagoas,Nordeste,8500
Loja 251,Sergipe,Nordeste,7800
Loja 252,Rio Grande do Norte,Nordeste,7500
Loja 253,Bahia,Nordeste,7800
Loja 254,Alagoas,Nordeste,7800
Loja 255,Paraíba,Nordeste,8200
Loja 256,Rio Grande do Sul,Sul,8200
Loja 257,Espírito Santo,Sudeste,7800
Loja 258,Minas Gerais,Sudeste,8200
Loja 259,Pernambuco,Nordeste,7500
Loja 260,Paraná,Sul,8200
Loja 261,Goiás,Centro-Oeste,7500
Loja 262,São Paulo,Sudeste,7200
Loja 263,Amazonas,Norte,7500
Loja 264,São Paulo,Sudeste,7500
Loja 265,Espírito Santo,Sudeste,8200
Loja 266,Rio de Janeiro,Sudeste,8500
Loja 267,Amazonas,Norte,7000
Loja 268,Rio Grande do Norte,Nordeste,8500
Loja 269,Piauí,Nordeste,8500
Loja 270,Rio Grande do Sul,Sul,8500
Loja 271,Paraná,Sul,7500
Loja 272,Minas Gerais,Sudeste,8500
Loja 273,Ceará,Nordeste,8500
Loja 274,Goiás,Centro-Oeste,7200
Loja 275,Mato Grosso,Centro-Oeste,8500
Loja 276,Alagoas,Nordeste,8200
Loja 277,Rio Grande do Sul,Sul,7200
Loja 278,Acre,Norte,8200
Loja 279,Maranhão,Nordeste,8200
Loja 280,Paraíba,Nordeste,7200
Loja 281,Acre,Norte,7000
Loja 282,Maranhão,Nordeste,7000
Loja 283,Paraná,Sul,7800
Loja 284,Amapá,Norte,7000
Loja 285,Ceará,Nordeste,7800
Loja 286,Piauí,Nordeste,8000
Loja 287,Rondônia,Norte,7800
Loja 288,Rondônia,Norte,8000
Loja 289,Tocantins,Norte,7800
Loja 290,Tocantins,Norte,7500
Loja 291,Pernambuco,Nordeste,8200
Loja 292,Rondônia,Norte,7800
Loja 293,Mato Grosso,Centro-Oeste,8000
Loja 294,Paraíba,Nordeste,7000
Loja 295,Goiás,Centro-Oeste,7500
Loja 296,Tocantins,Norte,8500
Loja 297,Piauí,Nordeste,7200
Loja 298,Amapá,Norte,8200
Loja 299,Minas Gerais,Sudeste,7500
Loja 300,Paraíba,Nordeste,8200
Loja 301,Ceará,Nordeste,7500
Loja 302,Minas Gerais,Sudeste,8200
Loja 303,Goiás,Centro-Oeste,7800
Loja 304,Amazonas,Norte,7000
Loja 305,Goiás,Centro-Oeste,7500
Loja 306,Sergipe,Nordeste,7000
Loja 307,Amazonas,Norte,7000
Loja 308,Espírito Santo,Sudeste,7000
Loja 309,Rio Grande do Sul,Sul,8000
Loja 310,Ceará,Nordeste,7200
Loja 311,Pará,Norte,8200
Loja 312,Santa Catarina,Sul,8200
Loja 313,Rio Grande do Sul,Sul,7800
Loja 314,Bahia,Nordeste,8000
Loja 315,Mato Grosso,Centro-Oeste,7500
Loja 316,Mato Grosso do Sul,Centro-Oeste,8500
Loja 317,Paraíba,Nordeste,7200
Loja 318,Goiás,Centro-Oeste,7500
Loja 319,Rio Grande do Norte,Nordeste,7500
Loja 320,Tocantins,Norte,7000
Loja 321,Pernambuco,Nordeste,8200
Loja 322,Mato Grosso do Sul,Centro-Oeste,7200
Loja 323,Acre,Norte,8000
Loja 324,Tocantins,Norte,8200
Loja 325,Paraíba,Nordeste,8000
Loja 326,Amazonas,Norte,8500
Loja 327,Espírito Santo,Sudeste,7500
Loja 328,Alagoas,Nordeste,7000
Loja 329,Rio Grande do Norte,Nordeste,7200
Loja 330,Sergipe,Nordeste,8500
Loja 331,Minas Gerais,Sudeste,8000
Loja 332,Ceará,Nordeste,8000
Loja 333,Alagoas,Nordeste,8500
Loja 334,Piauí,Nordeste,8000
Loja 335,Amapá,Norte,7800
Loja 336,Bahia,Nordeste,8200
Loja 337,Pará,Norte,8500
Loja 338,Rio Grande do Sul,Sul,7500
Loja 339,Goiás,Centro-Oeste,7800
Loja 340,São Paulo,Sudeste,7200
Loja 341,Alagoas,Nordeste,8200
Loja 342,Pará,Norte,8200
Loja 343,Maranhão,Nordeste,8500
Loja 344,Minas Gerais,Sudeste,7000
Loja 345,Pará,Norte,8500
Loja 346,Rio Grande do Norte,Nordeste,8000
Loja 347,Roraima,Norte,8000
Loja 348,São Paulo,Sudeste,8000
Loja 349,Rio Grande do Norte,Nordeste,8200
Loja 350,Mato Grosso do Sul,Centro-Oeste,8000
Loja 351,Acre,Norte,7200
Loja 352,Acre,Norte,7200
Loja 353,São Paulo,Sudeste,7000
Loja 354,Paraíba,Nordeste,8500
Loja 355,Rio de Janeiro,Sudeste,7200
Loja 356,Tocantins,Norte,7200
Loja 357,Sergipe,Nordeste,8200
Loja 358,Paraná,Sul,8500
Loja 359,Mato Grosso,Centro-Oeste,8200
Loja 360,Goiás,Centro-Oeste,8500
Loja 361,Minas Gerais,Sudeste,7200
Loja 362,Amapá,Norte,7000
Loja 363,Tocantins,Norte,7200
Loja 364,Piauí,Nordeste,7000
Loja 365,Tocantins,Norte,7200
Loja 366,Amazonas,Norte,7000
Loja 367,Rio Grande do Sul,Sul,8000
Loja 368,Rio Grande do Sul,Sul,7500
Loja 369,Pará,Norte,8200
Loja 370,Rio Grande do Norte,Nordeste,8200
Loja 371,Ceará,Nordeste,7000
Loja 372,São Paulo,Sudeste,8500
Loja 373,Amapá,Norte,8000
Loja 374,Tocantins,Norte,8200
Loja 375,Acre,Norte,8000
Loja 376,Mato Grosso do Sul,Centro-Oeste,7800
Loja 377,Pará,Norte,8000
Loja 378,Amazonas,Norte,8500
Loja 379,Mato Grosso do Sul,Centro-Oeste,8000
Loja 380,Acre,Norte,8000
Loja 381,Minas Gerais,Sudeste,7500
Loja 382,Piauí,Nordeste,7200
Loja 383,Piauí,Nordeste,7200
Loja 384,Mato Grosso,Centro-Oeste,8500
Loja 385,Piauí,Nordeste,8200
Loja 386,Espírito Santo,Sudeste,7800
Loja 387,Santa Catarina,Sul,8200
Loja 388,Roraima,Norte,8200
Loja 389,Ceará,Nordeste,7500
Loja 390,Mato Grosso,Centro-Oeste,7800
Loja 391,São Paulo,Sudeste,7000
Loja 392,Rio de Janeiro,Sudeste,8500
Loja 393,Tocantins,Norte,8000
Loja 394,Rio Grande do Sul,Sul,7800
Loja 395,Rio de Janeiro,Sudeste,7200
Loja 396,São Paulo,Sudeste,8200
Loja 397,Paraná,Sul,7200
Loja 398,Mato Grosso do Sul,Centro-Oeste,8200
Loja 399,Pará,Norte,7500
Loja 400,Amazonas,Norte,7800
Loja 401,Mato Grosso,Centro-Oeste,8500
Loja 402,Acre,Norte,7500
Loja 403,Pernambuco,Nordeste,8200
Loja 404,Santa Catarina,Sul,7200
Loja 405,Amapá,Norte,7200
Loja 406,Alagoas,Nordeste,7500
Loja 407,Pernambuco,Nordeste,8500
Loja 408,Paraná,Sul,7200
Loja 409,Pernambuco,Nordeste,7200
Loja 410,Roraima,Norte,8000
Loja 411,Rondônia,Norte,8200
Loja 412,Goiás,Centro-Oeste,7000
Loja 413,Rondônia,Norte,8000
Loja 414,Paraná,Sul,7000
Loja 415,Santa Catarina,Sul,8200
Loja 416,Paraíba,Nordeste,8200
Loja 417,Minas Gerais,Sudeste,8000
Loja 418,Paraíba,Nordeste,8200
Loja 419,Alagoas,Nordeste,8500
Loja 420,Alagoas,Nordeste,7500
Loja 421,Minas Gerais,Sudeste,8000
Loja 422,Paraná,Sul,7000
Loja 423,Pernambuco,Nordeste,7000
Loja 424,Pará,Norte,7200
Loja 425,Paraíba,Nordeste,7800
Loja 426,Maranhão,Nordeste,7500
Loja 427,Roraima,Norte,7200
Loja 428,Amapá,Norte,8200
Loja 429,Pará,Norte,8000
Loja 430,Goiás,Centro-Oeste,7200
Loja 431,Acre,Norte,7000
Loja 432,Amazonas,Norte,8000
Loja 433,São Paulo,Sudeste,8500
Loja 434,Pará,Norte,8500
Loja 435,Piauí,Nordeste,8200
Loja 436,Rio Grande do Norte,Nordeste,7500
Loja 437,Amapá,Norte,8500
Loja 438,Tocantins,Norte,7800
Loja 439,Santa Catarina,Sul,7500
Loja 440,Rio de Janeiro,Sudeste,7200
Loja 441,Bahia,Nordeste,8500
Loja 442,Bahia,Nordeste,8200
Loja 443,Mato Grosso,Centro-Oeste,8200
Loja 444,Paraíba,Nordeste,7000
Loja 445,Goiás,Centro-Oeste,7200
Loja 446,Amapá,Norte,7200
Loja 447,Mato Grosso do Sul,Centro-Oeste,7800
Loja 448,Santa Catarina,Sul,7800
Loja 449,Amapá,Norte,7500
Loja 450,Minas Gerais,Sudeste,7500
Loja 451,Acre,Norte,8200
Loja 452,Amazonas,Norte,7500
Loja 453,Amapá,Norte,8000
Loja 454,Paraná,Sul,7800
Loja 455,Maranhão,Nordeste,7500
Loja 456,Mato Grosso do Sul,Centro-Oeste,8500
Loja 457,Goiás,Centro-Oeste,8200
Loja 458,Alagoas,Nordeste,8500
Loja 459,Rio Grande do Sul,Sul,7200
Loja 460,Piauí,Nordeste,8000
Loja 461,Minas Gerais,Sudeste,7500
Loja 462,Tocantins,Norte,7500
Loja 463,Minas Gerais,Sudeste,7800
Loja 464,Espírito Santo,Sudeste,8200
Loja 465,Espírito Santo,Sudeste,7200
Loja 466,Alagoas,Nordeste,8500
Loja 467,Mato Grosso do Sul,Centro-Oeste,8000
Loja 468,Tocantins,Norte,8500
Loja 469,Pernambuco,Nordeste,7000
Loja 470,Sergipe,Nordeste,8200
Loja 471,Pernambuco,Nordeste,7800
Loja 472,Mato Grosso do Sul,Centro-Oeste,7000
Loja 473,Rio de Janeiro,Sudeste,7500
Loja 474,Acre,Norte,8500
Loja 475,Rio de Janeiro,Sudeste,8000
Loja 476,Pernambuco,Nordeste,8200
Loja 477,Pernambuco,Nordeste,8200
Loja 478,São Paulo,Sudeste,8000
Loja 479,Pernambuco,Nordeste,8200
Loja 480,Maranhão,Nordeste,7500
Loja 481,Santa Catarina,Sul,8500
Loja 482,Rondônia,Norte,7800
Loja 483,Paraíba,Nordeste,8000
Loja 484,Rio de Janeiro,Sudeste,7800
Loja 485,Sergipe,Nordeste,7500
Loja 486,Rio Grande do Norte,Nordeste,7800
Loja 487,Amazonas,Norte,7000
Loja 488,Alagoas,Nordeste,8500
Loja 489,Santa Catarina,Sul,8000
Loja 490,Acre,Norte,7000
Loja 491,Amazonas,Norte,8200
Loja 492,Sergipe,Nordeste,8200
Loja 493,Sergipe,Nordeste,8000
Loja 494,Rio Grande do Sul,Sul,8500
Loja 495,São Paulo,Sudeste,8200
Loja 496,Espírito Santo,Sudeste,7200
Loja 497,Paraná,Sul,7000
Loja 498,Alagoas,Nordeste,7500
Loja 499,Mato Grosso,Centro-Oeste,7200
Loja 500,Santa Catarina,Sul,7000
Loja 501,Sergipe,Nordeste,8500
Loja 502,Piauí,Nordeste,8500
Loja 503,Amazonas,Norte,7000
Loja 504,Sergipe,Nordeste,7800
Loja 505,Bahia,Nordeste,8500
Loja 506,Roraima,Norte,7800
Loja 507,Amazonas,Norte,7000
Loja 508,Pará,Norte,7800
Loja 509,Paraíba,Nordeste,8000
Loja 510,Roraima,Norte,8500
Loja 511,Mato Grosso,Centro-Oeste,7800
Loja 512,Piauí,Nordeste,7000
Loja 513,Amazonas,Norte,7000
Loja 514,Amapá,Norte,8000
Loja 515,Rio de Janeiro,Sudeste,7000
Loja 516,Mato Grosso,Centro-Oeste,8000
Loja 517,Piauí,Nordeste,8200
Loja 518,Pernambuco,Nordeste,7800
Loja 519,Tocantins,Norte,7000
Loja 520,Rio Grande do Norte,Nordeste,7800
Loja 521,Paraíba,Nordeste,7200
Loja 522,Paraná,Sul,7500
Loja 523,São Paulo,Sudeste,8200
Loja 524,Roraima,Norte,7000
Loja 525,Alagoas,Nordeste,7500
Loja 526,Mato Grosso,Centro-Oeste,7200
Loja 527,Tocantins,Norte,7800
Loja 528,Mato Grosso,Centro-Oeste,7000
Loja 529,Paraíba,Nordeste,8200
Loja 530,Santa Catarina,Sul,7000
Loja 531,Bahia,Nordeste,7500
Loja 532,Rio Grande do Sul,Sul,8000
Loja 533,Mato Grosso,Centro-Oeste,7000
Loja 534,Mato Grosso do Sul,Centro-Oeste,8000
Loja 535,Bahia,Nordeste,7800
Loja 536,Sergipe,Nordeste,7500
Loja 537,Espírito Santo,Sudeste,7800
Loja 538,Paraná,Sul,7800
Loja 539,Alagoas,Nordeste,7500
Loja 540,Rio de Janeiro,Sudeste,8000
Loja 541,Minas Gerais,Sudeste,8500
Loja 542,Pernambuco,Nordeste,7800
Loja 543,Paraíba,Nordeste,8000
Loja 544,Goiás,Centro-Oeste,8000
Loja 545,Maranhão,Nordeste,8200
Loja 546,Rio Grande do Norte,Nordeste,7000
Loja 547,Goiás,Centro-Oeste,8500
Loja 548,Tocantins,Norte,8000
Loja 549,Espírito Santo,Sudeste,8200
Loja 550,Goiás,Centro-Oeste,8200
Loja 551,Amapá,Norte,7000
Loja 552,Pernambuco,Nordeste,8200
Loja 553,Piauí,Nordeste,7000
Loja 554,São Paulo,Sudeste,7000
Loja 555,Roraima,Norte,8000
Loja 556,Espírito Santo,Sudeste,8200
Loja 557,Mato Grosso,Centro-Oeste,7800
Loja 558,Mato Grosso,Centro-Oeste,7800
Loja 559,Mato Grosso,Centro-Oeste,7000
Loja 560,Minas Gerais,Sudeste,8200
Loja 561,Sergipe,Nordeste,7500
Loja 562,Bahia,Nordeste,7000
Loja 563,Piauí,Nordeste,7500
Loja 564,Roraima,Norte,8000
Loja 565,Maranhão,Nordeste,7000
Loja 566,Bahia,Nordeste,7800
Loja 567,Amapá,Norte,8000
Loja 568,Santa Catarina,Sul,7200
Loja 569,Pará,Norte,8500
Loja 570,Alagoas,Nordeste,7000
Loja 571,Paraná,Sul,7800
Loja 572,Santa Catarina,Sul,7800
Loja 573,Amazonas,Norte,7000
Loja 574,Rio Grande do Sul,Sul,8000
Loja 575,Rio Grande do Norte,Nordeste,8500
Loja 576,Rio Grande do Sul,Sul,7200
Loja 577,Tocantins,Norte,7800
Loja 578,Piauí,Nordeste,7200
Loja 579,Rondônia,Norte,8200
Loja 580,Bahia,Nordeste,8500
Loja 581,Amapá,Norte,8000
Loja 582,Bahia,Nordeste,7200
Loja 583,Piauí,Nordeste,8200
Loja 584,Paraíba,Nordeste,7000
Loja 585,Sergipe,Nordeste,7800
Loja 586,Minas Gerais,Sudeste,7800
Loja 587,Goiás,Centro-Oeste,7200
Loja 588,Espírito Santo,Sudeste,7500
Loja 589,Rio Grande do Norte,Nordeste,7800
Loja 590,Roraima,Norte,8000
Loja 591,Tocantins,Norte,8000
Loja 592,Pernambuco,Nordeste,8000
Loja 593,Rio Grande do Sul,Sul,7800
Loja 594,Pará,Norte,7500
Loja 595,Bahia,Nordeste,8500
Loja 596,Minas Gerais,Sudeste,7500
Loja 597,Alagoas,Nordeste,7200
Loja 598,Rio Grande do Norte,Nordeste,7800
Loja 599,Tocantins,Norte,8500
Loja 600,Pará,Norte,7000
Loja 601,Santa Catarina,Sul,7800
Loja 602,Minas Gerais,Sudeste,7000
Loja 603,Roraima,Norte,7500
Loja 604,Amazonas,Norte,8500
Loja 605,Pernambuco,Nordeste,7000
Loja 606,Paraíba,Nordeste,7500
Loja 607,Minas Gerais,Sudeste,8000
Loja 608,Paraná,Sul,7800
Loja 609,Santa Catarina,Sul,7200
Loja 610,Pernambuco,Nordeste,7500
Loja 611,Maranhão,Nordeste,7200
Loja 612,Paraná,Sul,7000
Loja 613,Mato Grosso,Centro-Oeste,7500
Loja 614,Rio Grande do Norte,Nordeste,7500
Loja 615,Goiás,Centro-Oeste,8200
Loja 616,Paraná,Sul,8000
Loja 617,Bahia,Nordeste,8500
Loja 618,Tocantins,Norte,7200
Loja 619,Maranhão,Nordeste,7200
Loja 620,Alagoas,Nordeste,7800
Loja 621,Tocantins,Norte,8200
Loja 622,Roraima,Norte,7500
Loja 623,Ceará,Nordeste,8200
Loja 624,Paraíba,Nordeste,7000
Loja 625,Mato Grosso do Sul,Centro-Oeste,7200
Loja 626,Mato Grosso do Sul,Centro-Oeste,7800
Loja 627,Rio de Janeiro,Sudeste,7200
Loja 628,Rio Grande do Norte,Nordeste,7800
Loja 629,Piauí,Nordeste,8000
Loja 630,São Paulo,Sudeste,7800
Loja 631,Alagoas,Nordeste,8200
Loja 632,Pará,Norte,8200
Loja 633,Amapá,Norte,8500
Loja 634,Rio Grande do Norte,Nordeste,7200
Loja 635,Maranhão,Nordeste,7000
Loja 636,Maranhão,Nordeste,8000
Loja 637,Paraná,Sul,7000
Loja 638,Mato Grosso do Sul,Centro-Oeste,8200
Loja 639,Pará,Norte,8000
Loja 640,Rio de Janeiro,Sudeste,7200
Loja 641,Mato Grosso,Centro-Oeste,8200
Loja 642,Rondônia,Norte,8500
Loja 643,Alagoas,Nordeste,8000
Loja 644,Sergipe,Nordeste,8000
Loja 645,Pernambuco,Nordeste,8200
Loja 646,Amazonas,Norte,8200
Loja 647,Amazonas,Norte,8500
Loja 648,Goiás,Centro-Oeste,7500
Loja 649,Santa Catarina,Sul,8500
Loja 650,Pará,Norte,7000
Loja 651,Mato Grosso do Sul,Centro-Oeste,7200
Loja 652,Paraíba,Nordeste,8200
Loja 653,Pernambuco,Nordeste,7500
Loja 654,São Paulo,Sudeste,7000
Loja 655,Sergipe,Nordeste,8000
